birdID,species,bandNumber,colorComboL,colorComboR
1272-42472,AMRO,1272-42472,G,YX
1272-42472,NOMO,1272-42472,X,X
1292-71348,BRTH,1292-71348,WX,K
1292-71348,NOCA,1292-71348,X,GW
1352-46571,AMRO,1352-46571,X,GP
1352-46571,NOMO,1352-46571,XO,Y
2441-96580,CARW,2441-96580,-,XW
2441-96580,SOSP,2441-96580,G,GX
2531-74597,GRCA,2531-74597,K,YX
2531-74597,NOCA,2531-74597,Y,XB
2541-40475,CARW,2541-40475,X,KB
2541-40475,SOSP,2541-40475,BX,B
2661-07740,CARW,2661-07740,X,OK
2661-07740,TUTI,2661-07740,GG,X
2661-07835,CARW,2661-07835,XB,B
2661-07835,TUTI,2661-07835,W,XW
2661-07933,CARW,2661-07933,WM,X
2661-07933,TUTI,2661-07933,WM,X
2710-54086,SOSP,2710-54086,-,MX
2710-54086,UNCH,2710-54086,-,RX
2711-64067,CARW,2711-64067,XR,O
2711-64067,SOSP,2711-64067,OX,O
2711-64151,CARW,2711-64151,X,YR
2711-64151,SOSP,2711-64151,R,OX
2711-77581,SOSP,2711-77581,W,X
2711-77581,TUTI,2711-77581,XB,G
2741-54406,CARW,2741-54406,RX,O
2741-54406,SOSP,2741-54406,X,BB
2741-54630,CARW,2741-54630,X,KG
2741-54630,SOSP,2741-54630,X,WR
2750-34950,BCCH,2750-34950,O,XB
2750-34950,HOWR,2750-34950,YB,X
2750-64359,CACH,2750-64359,X,BM
2750-64359,HOWR,2750-64359,OB,X
275044554,CACH,275044554,R,RX
275044554,HOWR,275044554,BB,X
