siteID,dateVisit,region,year
TIDMLOUGA1,2014-07-18,Atlanta,2014.0
ARABMOUGA1,2014-07-20,Atlanta,2014.0
MAYECINGA1,2014-05-19,Atlanta,2014.0
BRADVALGA1,2014-05-10,Atlanta,2014.0
BRADVALGA1,2015-06-06,Atlanta,2015.0
BRADVALGA1,2016-04-09,Atlanta,2016.0
BAILEESVA1,2015-06-15,DC,2015.0
LIEBJUDMD1,2015-06-11,DC,2015.0
OLONMARDC1,2016-07-21,DC,2016.0
REITBOBMD1,2016-04-13,DC,2016.0
SANFCARMD1,2016-07-14,DC,2016.0
WILDANNVA2,2016-07-21,DC,2016.0
OWENKATMD1,2016-06-30,DC,2016.0
YOUNELIMD1,2016-07-01,DC,2016.0
BUISNORVA1,2016-07-05,DC,2016.0
WOODPAUVA1,2016-07-11,DC,2016.0
SOLLCHRMD1,2016-07-01,DC,2016.0
GRINJENFL1,2012-07-27,Gainesville,2012.0
BLOOLEEFL1,2012-07-30,Gainesville,2012.0
PRESPENFL1,2013-07-08,Gainesville,2013.0
SILVCELFL1,2015-05-19,Gainesville,2015.0
KORNHARFL1,2015-05-20,Gainesville,2015.0
HASHTAMPA1,2014-08-04,Pittsburgh,2014.0
MARNMELPA1,2014-08-02,Pittsburgh,2014.0
LEEJOEPA1,2015-05-15,Pittsburgh,2015.0
MOORMATPA1,2015-06-23,Pittsburgh,2015.0
GETZGLEPA1,2015-07-31,Pittsburgh,2015.0
KIRSCHRPA1,2015-07-25,Pittsburgh,2015.0
LIPSMARNC1,2015-05-02,Raleigh,2015.0
MCCODINNC1,2015-06-15,Raleigh,2015.0
HAHNMARNC1,2016-05-13,Raleigh,2016.0
BOUDLYNMA1,2016-06-01,Springfield,2016.0
